id,date,oppo,venue,result,bat_first,first_runs,first_wkts,first_all_out,first_notes,second_runs,second_wkts,second_all_out,second_notes,overs_opp,overs_tocc,tocc_w,tocc_nb,tocc_b,tocc_lb,opp_w,opp_nb,opp_b,opp_lb
-1,1999-06-12 00:00:00,Blackheath Select XI,A,D,TOCC,114,9,,"Mander A 34, Worthington 24",58,5,,Young 5-26,36,18,0,0,1,0,2,2,8,2
-1,1999-06-13 00:00:00,4 C's,H,D,TOCC,144,4,,,133,8,,,,,0,0,0,0,0,0,0,0
-1,1999-06-19 00:00:00,Midland Bank IV,H,D,TOCC,216,3,,"Leadley 99, Dugdale 49, Sharpe 45",105,9,,"Morris 3-11, Young 3-16",32,38,14,2,8,2,4,2,2,2
-1,1999-06-20 00:00:00,Addington,A,D,Opp,165,7,,"De Mel M 61, Elliston 2-8",121,7,,"Mander C 30, Blackman 3-6",39,47,3,1,14,10,4,0,13,6
-1,1999-06-27 00:00:00,Sunderland Supporters,H,W,Opp,106,9,,Nichol 30,107,5,,Coloe 39,26,36,1,0,11,1,3,1,4,0
-1,1999-07-03 00:00:00,Churchleigh,A,L,TOCC,182,10,,"Mander A 61*, Mander N 24",184,5,,Wilkinson 62,38.2,32,1,0,1,1,7,1,18,4
-1,1999-07-04 00:00:00,Murray,A,L,TOCC,189,7,,"Howe 43, Nadeem 3-23",190,6,,Vagg 83,48,39.3,8,0,10,5,1,1,2,4
-1,1999-07-10 00:00:00,Wandsworth Gods,H,W,Opp,162,10,,"Worthy J 4-35, Mander A 4-65",163,4,,"Dugdale 86*, Mander N 47",31.2,37.5,13,0,1,4,11,2,0,1
-1,1999-07-17 00:00:00,Legless 11,A,W,TOCC,266,5,,"Hawksworth 73*, Leadley 64, Hamilton 40",209,10,,"Williams 70, Roodenburgh 59, Mander A 3-19",33.4,40,13,0,4,7,14,2,0,7
-1,1999-07-18 00:00:00,Falcon,H,D,TOCC,223,7,,"Mander C 51*, Leadley 37, Afonso 35",109,9,,Springer 4-15,42,36,7,5,0,4,4,3,9,0
-1,1999-07-24 00:00:00,Lessa Wanderers,A,D,Opp,205,10,,Beck 57*,136,6,,"Worthy J 41*, Mander N 31*",35,37.2,1,0,1,3,15,2,9,2
-1,1999-07-25 00:00:00,Blendon,H,L,TOCC,97,10,,"Leadley 59, Power 7-40",99,7,,Mander A 3-13,28.4,36.2,2,1,5,2,2,0,2,3
-1,1999-08-01 00:00:00,Whyteleaf,A,L,Opp,186,7,,"Jas 100*, Shewan 3-33",165,9,,"Springer 78*, Snow 31, Leadley 30",35.4,37.3,5,0,8,4,3,1,6,4
-1,1999-08-14 00:00:00,Riverside,H,L,Opp,130,9,,"Mander A 5-19, Gordon 35",47,9,,"Lum 6-32, Young 17",15.5,37.2,6,1,5,2,8,3,0,0
-1,1999-08-15 00:00:00,Hextable,H,L,Opp,199,5,,Haynes 72,140,10,,Springer 87*,32.4,47,4,0,4,3,3,2,1,1
-1,1999-08-28 00:00:00,Old Paulines,A,D,Opp,195,6,,"Abrahams 74, Springer 2-37",111,8,,Springer 29,37,43.3,2,2,4,2,2,3,2,0
-1,1999-08-29 00:00:00,Blendon,A,D,Opp,224,7,,"Croft 81, Hopton 60",90,4,,,46,40,6,0,5,0,2,0,9,3
-1,1999-09-04 00:00:00,Lessa Wanderers,H,L,TOCC,99,10,,"Woodhouse 21, Mander A 21",100,4,,,38.3,31.4,2,0,0,2,2,0,14,2
-1,1999-09-05 00:00:00,Selsdon,H,D,Opp,198,3,,"Meillio 100, Singh 50*",195,3,,Hamilton 75*,39,34,5,1,1,0,3,1,5,5
-1,1999-09-11 00:00:00,Prospect Park,H,D,Opp,183,2,,"Harbert 69, Fletcher 63, Shewan 1-14",142,5,,"Mander C 45, Hamilton 42",39,41,3,1,13,1,1,0,4,1
-1,1999-09-12 00:00:00,East Cheam,H,D,Opp,223,4,,"Herneman 88, Smart 66",154,7,,"Snow 44, Lestrelle 34",38,43,0,1,13,3,14,4,9,0
-1,1999-09-18 00:00:00,Orpington,H,L,Opp,209,5,,"Atkinson 68*, Clark C 2-31",43,10,,Ingram 4-5,18.5,42,0,0,3,7,2,1,2,2
-1,1999-09-19 00:00:00,Murray,H,W,Opp,102,10,,Cooper G 5-26,103,9,,"Leadley 49, Toms P 5-28",37.5,33,1,1,0,0,5,0,8,1
-1,2012-05-13 00:00:00,Beddington,H,L,TOCC,114,10,,"Springer 38, Middleton 33, Cooper S 5-41",116,2,,Trigwell 55,30,28.1,8,1,6,0,2,0,1,2
-1,2012-05-20 00:00:00,Lettsom XI,A,L,Opp,278,5,,"Sam P 113, Charlie D 106",211,8,,Sharpe 86,40,39.2,8,1,4,0,20,1,18,6
-1,2012-05-27 00:00:00,Sanderstead,H,D,TOCC,251,6,,"Middleton 101, Springer 76",210,4,,"Rushforth R 94*, Elleray S 56",46,41,9,1,2,1,4,4,7,3
-1,2012-06-02 00:00:00,Fonthill Park,A,L,Opp,178,8,,"Street 53, Springer 3-11, Seymour 3-17",176,7,,Springer 65,35,35,12,11,6,2,13,2,3,1
-1,2012-06-03 00:00:00,Woodgreen,A,L,TOCC,151,7,,Springer 59,152,4,,Harding 51,30,20,9,1,1,2,6,3,6,3
